ad_archive_id,tier,brand,source_url,page_id,page_name,page_profile_uri,page_like_count,page_categories,is_active,start_date,end_date,publisher_platform,ad_text,c1_domain_mismatch,c2_extreme_discount,c3_urgency_language,c4_category_mismatch,c5_low_likes,criteria_met,is_scam,holiday_window,c2_waived,c3_waived,brand_mentioned
2748278188854927,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,114843736941227,Shicchy's Charity Fair,https://www.facebook.com/japan.lifestyle.fb/,1125,shopping mall,True,2026-04-08 07:00:00,2026-04-21 07:00:00,FACEBOOK|INSTAGRAM,"Shicchy’s Charity Fair – Tokyo’s Most Trusted Luxury Event

If you’re visiting Tokyo this June, don’t miss this.

For over 53 years, Shicchy’s Charity Fair has been one of Japan’s largest and most reliable luxury pre-owned events.

👜 100,000+ luxury items
💎 Bags, watches, jewelry & more
✔ 100% authenticated items
🔥 30–90% off retail prices

📅 June 5–7, 2026
📍 Tokyo Ryutsu Center (TRC)
✈️ Just 10 minutes from Haneda Airport

🛍 On-site shopping only (no online / no shipping)
🎟 Free entry

Held onl",,,,,,0,False,False,False,False,False
1670876347202608,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,107659074939011,Beautinow: Niche Perfume Store,https://www.facebook.com/beautinownll/,4734,health/beauty,False,2025-10-03 07:00:00,2025-10-06 07:00:00,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,,,,,,0,False,False,False,False,False
695556436296234,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,108816865331784,Agency Scaling Secrets,https://www.facebook.com/ItsThatJeffGuy/,3286,business,False,2025-04-10 07:00:00,2025-04-22 07:00:00,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER,"Mark, Alex, and Grant have put you in a losing position...

Telling you one thing, knowing the other works better.

They said, “Get more leads.”

Pretending like that'll actually do what you think its gonna do.

But here’s the truth: business isn’t built on leads.

Its built on customers.

You don't deposit leads into your bank account.
You don't build MRR off people who ""might be interested""

Business dont chase followers, clicks, or YT watch time. They generate customers and then upgrade those",,False,False,False,False,0,False,False,False,False,True
1601665101085609,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,104587545037280,Marketing.MBA,https://www.facebook.com/marketingmba.official/,1329,business,True,2026-03-13 07:00:00,2026-04-20 07:00:00,FACEBOOK|INSTAGRAM,"""If nothing changes, I'll lose everything.""
Dr. Jens Hermes was three months away from shutting down his relationship coaching business. 

He was drowning financially, unable to even cover his personal bills, because his entire revenue stream was completely dependent on Instagram's algorithm.

When it worked, revenue spiked, but when it stopped, everything dried up…

When we helped him build a predictable revenue system independent of Instagram's algorithm, he stopped relying on for algorithmic ",,False,False,False,False,0,False,False,False,False,True
1267077188683075,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,104587545037280,Marketing.MBA,https://www.facebook.com/marketingmba.official/,1329,business,True,2026-03-13 07:00:00,2026-04-20 07:00:00,FACEBOOK|INSTAGRAM,"""If nothing changes, I'll lose everything.""
Dr. Jens Hermes was three months away from shutting down his relationship coaching business. 

He was drowning financially, unable to even cover his personal bills, because his entire revenue stream was completely dependent on Instagram's algorithm.

When it worked, revenue spiked, but when it stopped, everything dried up…

When we helped him build a predictable revenue system independent of Instagram's algorithm, he stopped relying on for algorithmic ",,False,False,False,False,0,False,False,False,False,True
620274701125067,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,385677722167908,NUIR Vintage,https://www.facebook.com/nuirvintage/,3829,vintage|clothing (brand)|bags/luggage,False,2025-08-08 07:00:00,2025-08-13 07:00:00,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,,,,,,0,False,False,False,False,False
1498263108588906,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,1012825485247526,Romance Weaver,https://www.facebook.com/61587832522418/,31,software,True,2026-04-04 07:00:00,2026-04-20 07:00:00,FACEBOOK|MESSENGER,"**Romance Weaver -- AI-Powered Romance Novel Pipeline**

Hi everyone! I'm Rick, the developer behind Romance Weaver. Full disclosure: I built this, I run it, and I'm actively developing it right now.

**What it is:**
Romance Weaver is a complete romance novel production pipeline. You set up your foundation -- sub-genre, tropes, heat level, word count -- and it generates a full manuscript through an 11-step guided workflow: foundation, tropes, location, blueprint, outline, characters, relationshi",,False,False,False,True,1,False,False,False,False,True
583261164859270,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,108816865331784,Jeff Miller - Online Business Coach,https://www.facebook.com/ItsThatJeffGuy/,3286,business,False,2025-07-18 07:00:00,2025-08-13 07:00:00,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,"Mark, Alex, and Grant have put you in a losing position...

Telling you one thing, knowing the other works better.

They said, “Get more leads.”

Pretending like that'll actually do what you think its gonna do.

But here’s the truth: business isn’t built on leads.

Its built on customers.

You don't deposit leads into your bank account.
You don't build MRR off people who ""might be interested""

Business dont chase followers, clicks, or YT watch time. They generate customers and then upgrade those",,False,False,False,False,0,False,False,False,False,True
921439206871473,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,385677722167908,NUIR Vintage,https://www.facebook.com/nuirvintage/,3829,vintage|clothing (brand)|bags/luggage,False,2025-08-19 07:00:00,2025-08-22 07:00:00,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,,,,,,0,False,False,False,False,False
716357234584320,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,108816865331784,Jeff Miller - Online Business Coach,https://www.facebook.com/ItsThatJeffGuy/,3286,business,False,2025-07-15 07:00:00,2025-07-18 07:00:00,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,"Mark, Alex, and Grant have put you in a losing position...

Telling you one thing, knowing the other works better.

They said, “Get more leads.”

Pretending like that'll actually do what you think its gonna do.

But here’s the truth: business isn’t built on leads.

Its built on customers.

You don't deposit leads into your bank account.
You don't build MRR off people who ""might be interested""

Business dont chase followers, clicks, or YT watch time. They generate customers and then upgrade those",,False,False,False,False,0,False,False,False,False,True
1656476728332267,luxury,hermes,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=Hermes%2090%25%20off,385677722167908,NUIR Vintage,https://www.facebook.com/nuirvintage/,3829,vintage|clothing (brand)|bags/luggage,False,2025-08-01 07:00:00,2025-08-03 07:00:00,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,,,,,,0,False,False,False,False,False
